edge.fromid,edge.toid,edge.distance
906,881,26.918532753060564
665,400,214.8808363714735
622,29,457.4168402799254
455,666,702.9490306119014
685,804,571.4608304258223
618,7,135.53669661948013
799,440,232.42253724144734
600,773,543.0493339996162
498,597,170.81112178958318
239,91,572.7320850369728
499,701,252.40993124351124
589,255,672.8122485955854
334,585,451.3241092337709
78,66,420.2291710460327
127,376,471.4021061166535
656,724,399.99059804270905
340,725,435.37373760105027
7,665,243.40072051072366
70,222,616.2817120133651
737,799,262.3795598848115
221,533,626.8224666504142
978,824,20.052634360000464
583,752,535.883090123239
674,624,503.4429628523829
260,686,519.5303207296743
463,389,171.99847738485545
500,423,445.4939068619352
229,190,118.96890865114095
216,645,316.64753351259026
544,734,565.922256433482
52,870,4179.806675979746
232,822,300.6301169099026
166,530,602.3503734851762
212,674,500.83374995332713
241,738,171.8497480139848
432,606,275.9810096554881
85,825,397.00000030677757
484,456,377.8466103632857
147,764,419.86153569559406
359,840,264.2965639077607
841,631,1006.9231272865196
508,296,551.4869557863067
933,893,734.5281943534382
100,182,442.5350344465125
487,794,380.47071942652326
722,517,519.8764261332011
73,411,519.9991607866815
327,775,454.7514025788141
916,906,1511.3729407782805
798,270,573.4172938191566
58,830,358.55443238992746
249,609,169.99766513092084
721,540,600.7781485822519
732,516,243.56574318485062
760,663,434.3914281346523
220,416,204.11564087567905
440,832,357.3389305509943
801,559,314.00306847122226
634,529,559.2216243222279
608,406,553.4703624741018
286,672,459.88956314853283
103,557,448.66336946615917
822,681,383.20035088728895
56,357,107.98526210625415
612,800,532.4628170879133
478,96,296.2723842060661
888,937,1224.2158428545006
343,112,455.85177413804183
137,652,70.00000006198506
789,72,338.7683758747169
680,258,335.66526559354105
34,723,452.0112374344343
109,688,522.4258133808816
86,705,170.977224918039
701,274,555.8026967470724
494,335,436.8805135822103
284,587,600.000000524554
269,128,319.9467984830422
726,567,440.53659802187326
6,711,529.9997978885347
70,270,527.0166188586758
282,761,515.1126299378153
169,955,294.34617229472445
746,356,508.8468656167247
856,432,266.6499912979098
426,454,396.10631341616835
310,619,465.96959377771805
304,796,392.9509082644783
790,659,484.40917762417337
727,211,262.3628498009593
75,884,110.67706609583045
452,345,325.83050657888316
706,92,215.53118128906272
682,839,569.8127257054306
653,550,349.9439856503666
292,218,349.03217389884355
938,916,1858.6100221635832
27,39,611.2558259127771
441,625,513.9318748122672
686,343,550.6473122896687
65,549,405.10112791190653
703,76,292.1633573672268
740,589,507.70645003774337
916,938,1858.6100221635832
267,608,619.7520547118002
493,449,311.9008190108091
513,45,501.9988526354579
207,488,417.68598808094816
717,55,435.92516180649227
36,466,304.69931449933006
619,193,620.8555578681494
667,628,398.988060004689
439,217,595.9999578495504
702,284,634.9773763247024
713,961,417.3431298849229
50,637,204.90101546429185
59,463,278.23080128754447
926,904,2370.0212386544185
139,25,145.5949292305266
907,937,6.556041602969677
81,236,1100.0856118605413
636,394,603.2021746973859
581,249,169.85900810033073
259,698,542.8670228129124
55,139,402.725676466544
424,490,599.998595914382
881,855,4261.212567361545
468,577,170.99986404927708
277,54,449.46355867942106
911,932,5258.984811067178
464,89,241.57826315541425
927,883,443.4080977564247
638,310,428.2841476608139
487,805,384.1230138760361
164,836,599.890187194173
549,336,378.7759529262974
793,223,571.0566326867231
541,408,229.87100110568886
970,756,0.9384708706855283
905,882,5143.435541406877
839,851,118.448284089034
681,740,196.99875422413638
638,277,173.26638391227158
394,795,347.8793311434031
517,396,520.5175738991566
564,922,4602.532910334619
568,14,334.7863030433411
732,445,249.74440631431986
365,195,284.95017195867223
359,265,531.3923823066151
409,271,585.3764543678868
943,885,5176.217507283012
711,623,511.2918996278869
724,344,225.00000015285394
661,43,164.0000001445055
22,395,620.0000004821952
761,669,551.3739777763888
329,170,627.5022471505624
443,483,267.4208792154219
870,333,402.6956853243342
716,527,789.9549506419868
177,703,551.3508510881188
573,979,8.346788807528366
951,894,1147.4406289286028
134,166,284.99222857562864
835,614,377.1748563903566
555,739,414.87302167268643
274,689,771.0078880764147
754,604,543.5211697444195
113,424,461.8929372055065
621,213,476.4067701392091
14,94,370.1409143229733
356,811,485.9103399251443
173,659,336.87448411767303
362,233,651.2604136345583
689,58,285.7610527585743
453,618,243.69716069713635
731,716,415.04317200546365
345,712,257.2787262713536
346,683,413.81928669579236
526,612,360.21017330101273
631,634,554.0007843304314
101,365,430.4191280120043
211,419,441.10485754169497
117,588,360.9731896383409
530,401,350.9839893451735
818,965,81.34565229924694
955,530,257.88713985193965
97,963,241.8043060863253
253,263,354.75220834516847
552,382,499.9769700060697
197,256,300.53685367536883
787,299,326.68500320724064
372,958,406.7703061511311
293,558,520.8255788359023
733,239,7.999999995969451
719,147,299.74593286140305
752,493,353.89032427702637
172,498,307.4965180596296
869,213,309.33590123066784
213,290,344.8427821845418
882,926,461.26143347590073
390,122,420.5107376992877
366,460,393.37816620408836
36,982,605.6930769543686
939,944,1409.1233833281822
335,503,289.39793055036716
518,131,488.2143172679609
16,216,257.4033119791833
97,340,786.2077053591188
607,462,171.99382633573268
195,317,354.910848642313
641,227,348.0865768355426
15,281,306.0000002670788
906,915,1509.0624607413406
391,727,396.86858788838055
918,881,3366.7174528845912
474,691,517.6660021328232
449,65,493.35953572815606
290,275,400.3872011592353
520,252,586.4512934680052
623,109,520.0000003703036
757,649,171.00000010764822
642,238,602.9911551469577
291,946,462.16525876389045
281,173,589.7091533566372
979,665,223.70143197944816
920,901,499.7529542971396
454,78,300.2163130697994
518,803,487.8787577059541
783,459,725.4037900960083
188,631,559.160342457941
316,36,1090.3462462869943
363,671,171.9964754698496
507,412,412.9355927956904
29,417,324.13137143309314
272,438,520.0000003799604
425,528,286.18672653649037
973,92,148.99255472633612
336,273,317.4191691486047
404,233,408.518546929134
255,868,36.45213821620477
961,713,417.3431298849229
588,201,344.815280696083
445,220,340.6241481483467
927,902,5.46929854234427
668,494,547.1874048675201
604,616,368.45111620508004
691,106,484.8024828070729
94,101,234.95726642593775
349,685,669.2571495494826
582,453,194.19489492340028
294,835,666.077687692487
271,678,716.741877148336
344,605,481.9374696780698
622,81,391.26822732505843
138,808,171.99983869763977
49,570,199.65073370008986
373,132,664.6826175228161
521,621,601.317645791859
773,257,500.2559920829165
725,954,276.02351036561214
234,177,310.8468071416554
295,726,502.15507316453557
444,291,158.1191649132752
69,5,487.8555931085974
305,366,599.6937319547953
580,532,389.93693600083003
205,437,175.9449067967241
803,541,424.6035623218536
857,865,576.3824392564915
252,130,320.93752988132945
764,93,280.1238831668912
112,443,439.674270779167
229,846,566.4585065352161
191,219,406.6137109089061
481,511,540.3430648264854
245,802,479.9977219462259
614,682,607.718655715967
682,364,435.90138674932723
93,380,591.9345585863479
106,526,309.69788896546913
944,939,1409.1233833281822
594,848,359.31484276525026
477,742,210.97567184539935
501,760,307.0659499368456
436,56,143.08378582489703
270,542,581.7088960415593
683,505,183.11540648288005
250,65,933.7416058893873
427,410,171.99974717625037
956,121,743.2449509192115
307,329,320.00000021057014
585,751,211.91560696266973
847,604,385.06643676281846
753,197,294.91175220527646
804,518,485.3921414137115
483,64,218.65338758039277
712,675,366.77699520380486
505,499,440.467359021812
28,967,17.839338689701655
560,4,287.765939531043
911,951,7.643948819447497
25,206,298.2397922846486
