reference.reference,reference.id
GEO0K_K_RWSTI359886,962
RWS01_MONICA_00D0020A040068200005,266
RWS01_MONIBAS_0021hrl0560ra,270
RWS01_MONICA_00D0020C9C2DD0070307,337
RWS01_MONICA_00D00208401BD0050011,826
RWS01_MONIBAS_0120vwx0596ra,458
RWS01_MONICA_00D00208401BD0050015,747
GEO0K_K_RWSTI359888,960
RWS01_MONIBAS_0021hrr0678ra,253
RWS01_MONIBAS_0271hrl0551ra,600
RWS01_MONIBAS_0271hrr0480ra,438
RWS01_MONICA_00D01B0B2000D007000B,392
RWS01_MONICA_00D01B0D2000D007000F,44
RWS01_MONICA_00D01B0B2000D007000F,393
RWS01_MONIBAS_0270vwf0839ra,558
RWS01_MONICA_00D01B0D2000D007000B,179
GEO0K_K_RWSTI359632,954
RWS01_MONIBAS_0021hrl0571ra,662
RWS01_MONICA_00D00208401BD0050005,748
RWS01_MONIBAS_0281hrl0053ra,712
RWS01_MONICA_00D01B0B2000D0070007,358
RWS01_MONICA_00D01B0D2000D0070007,599
RWS01_MONIBAS_0121hrl0543ra,735
RWS01_MONIBAS_0121hrr0628ra,635
RWS01_MONIBAS_0271hrl0575rb,476
RWS01_MONICA_00D00208401BD005000D,114
RWS01_MONIBAS_0271hrl0575ra,502
RWS01_MONIBAS_0021hrr0689ra,723
RWS01_MONICA_00D00208401BD0050009,617
RWS01_MONIBAS_0021hrl0791ra,45
GEO0K_K_RWSTI359663,955
RWS01_MONIBAS_0020vwn0612ra,498
RWS01_MONIBAS_0270vwd0858ra,650
RWS01_MONIBAS_0021hrl0584ra,264
RWS01_MONIBAS_0121hrl0652ra,611
RWS01_MONIBAS_0021hrr0558ra,805
RWS01_MONIBAS_0021hrr0610ra,241
RWS01_MONIBAS_0020vwa0563ra,291
RWS01_MONIBAS_0271hrr0854ra,224
RWS01_MONIBAS_0021hrl0629ra,530
RWS01_MONICA_00D00C08FC00A0200005,566
RWS01_MONICA_00D00C08FC00A0200009,261
RWS01_MONIBAS_0020vwm0597ra,59
RWS01_MONIBAS_0020vwm0607ra,462
RWS01_MONIBAS_0021hrr0754ra,406
RWS01_MONIBAS_0271hrl0718ra,541
PUT01_N234.11_1,935
RWS01_MONIBAS_0121hrr0519ra,491
PUT01_N234.11_0,904
RWS01_MONIBAS_0021hrl0618ra,437
GEO0K_K_RWSTI359655,971
GEO0K_K_RWSTI359652,961
GEO0K_K_RWSTI359894,975
RWS01_MONIBAS_0020vwg0646ra,248
